proceedingId,conferenceName
49e37051-62bd-42ef-84d3-f70e2377856b,"International Conference on Recent Developments in Control, Automation & Power Engineering (RDCAPE)"
3ff0381e-fe9f-4f84-ad60-1ac2767071e6,"International Conference on Research Methodologies in Knowledge Management, Artificial Intelligence and Telecommunication Engineering (RMKMATE)"
61cce76b-e079-4c14-a7c3-83ba469fef5b,International Conference on Safety Produce Informatization (IICSPI)
92e0fd23-4371-4b19-8252-2617dee579e3,International Conference on Science Technology Engineering and Mathematics (ICONSTEM)
15ddedbe-792c-40aa-87ad-6b9b18b438eb,International Conference on Science in Information Technology
b95ee4a9-2cbe-4dd0-8561-b1a34fc3a2b7,International Conference on Self Sustainable Artificial Intelligence Systems (ICSSAS)
c1db4bdb-e7ea-4fdd-beed-f36446bf130b,International Conference on Service Systems and Service Management
e2513318-c2c3-478c-82c1-ad436c71a5d3,International Conference on Service Systems and Service Management
c63e526b-8e86-4020-b6f0-121594ee64cd,International Conference on Signal Processing and Communication (ICPSC)
d4164d17-b000-43b7-9d7e-514ebb501443,"International Conference on Signal Processing, Computing and Control (ISPCC)"
2528df15-4f5d-4841-95d1-e8e3a5bc8669,International Conference on Smart Cities
7d0fd1d1-16a9-44a5-8fb2-8925d96329c9,International Conference on Smart Computing and Electronic Enterprise (ICSCEE)
c786be44-f183-4948-9075-96186b0d48b8,International Conference on Smart and Sustainable Technologies (SpliTech)
a2eaadca-f590-4223-a9de-547358bc03c2,International Conference on Sustainable Islamic Business and Finance
924b7f6c-7c9c-44a6-a3d1-2c5a9b49ac33,International Conference on System Reliability and Safety
5d78d445-0c89-4ee3-9d47-a387be0c9b99,"International Conference on Systems, Signals, and Image Processing"
73924378-d515-4bcf-bb50-2d3b6a6807a2,International Conference on Technological Advancements in Computational Sciences (ICTACS)
40db39a6-53a8-4a86-b610-960e188c2446,"International Conference on Telecommunication in Modern Satellite, Cable and Broadcasting Services"
e7cfd54e-8b63-49f9-ae4f-4fbc817f1b07,"International Conference on Trends in Automation, Communications and Computing Technology (I TACT 15)"
435bbab4-eff0-47d2-84d4-903f42eb17d6,International Conference on Unmanned Systems (ICUS)
9815588d-0f4f-4798-a099-4c51e58070e8,International Conference on Vision Towards Emerging Trends in Communication and Networking (ViTECoN)
3837411b-098d-4f14-bea4-ab0c5e76238f,International Conference on the Digital Society
b5db35e9-b096-45f8-8b70-d22335458914,International Conference on the Software Process
edd19268-9c28-4bdf-97e8-0bdbab48f02c,International Conferences on Contemporary Computing and Informatics
112a04e1-4010-43dc-9ddb-60c3dff074c7,International Conferences on Data Science and Engineering
3e328e0b-cd06-41f4-9d23-de755f51f467,International Congress on Information and Communication Technology
a94e83b5-1d50-44fd-b144-5dba9bd004f9,International Congress on Information and Communication Technology
354e54f0-f143-45b8-9cbd-fc36c12fdc16,International Joint Conference on Computer Science and Software Engineering
afb15f19-44db-4f03-8d62-6f1ea611e05f,International Mobile and Embedded Technology Conference (MECON)
cd541c7e-a565-425d-84dc-bb72df158c3b,International Multi Topic Conference
7d5ae550-d99a-4417-9812-bb99b470def7,International Ontology for the Intelligence Community
d8e82ccd-4df1-4102-b36a-1c2285b9060f,International Radar Conference
2707b023-06ec-45b6-9337-bf252701e88d,International Radar Conference
64b621bb-3199-417a-8582-710bc9464517,International Scientific Practical Conference Problems of Infocommunications Science and Technology
c1a39267-3c9a-4644-b9ce-23bc43962d5d,International Scientific Practical Conference Problems of Infocommunications Science and Technology
aa33fbc9-5851-42fa-a006-9b93d8272f3a,International Symposium on Combinatorial Optimization
908c047c-4674-47f3-afdd-1fb0df5f8e37,International Symposium on Electronic Commerce
271be0db-6cbd-4774-be58-f1e35d928c60,International Symposium on High capacity Optical Networks and Enabling Technologies
b767a1f8-888f-45fb-a9a9-6bfa54d3e5e6,International Workshop on Document Analysis Systems
f01faedc-5a2d-4da6-9b20-ce2f42aa3c36,Irish Signals and Systems Conference
0e284e0d-5aeb-4c6f-b4ea-8522861971f2,Italian Conference on Theoretical Computer Science
0d3c30be-dbab-4146-a21b-d6047dd76a4d,Journal of Physics: Conference Series
05a50b6a-29d4-4e6b-b9ee-c492ee7d8aea,Journal of Physics: Conference Series
a6261309-2df9-4e7f-8b76-2402a8a20254,Journal of Physics: Conference Series
32c03d36-3776-4762-aff3-2b564514b256,Journal of Physics: Conference Series
27275109-6694-48c0-a348-23146da526e6,"LACCEI international multi conference for engineering, education and technology"
c4a40f05-26f3-49b7-8494-2e469e057a82,MEC International Conference on Big Data and Smart City (ICBDSC)
a0606e36-0b43-446f-8c32-247f6573ecfd,National Conference on E Learning & E Learning Technologies (ELELTECH)
d9a2b77f-341f-4d56-83ae-1e6053a900c8,National Conference on Information Assurance (NCIA)
b83b1ed3-77da-4a1b-81ea-5192c7aa54eb,Nirma University International Conference on Engineering
5cca72d4-9679-4f8d-8b09-abcf51872016,"Open Conference of Electrical, Electronic and Information Sciences (eStream)"
